step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,,0,0.0,-2.0,-2.0,-2.0,0,0.0,2.0,2.0,2.0,0,0.0,2.0,0.0,0.0,0.0
17,0.0,0.0,0.0,,0,0.0,2.0,0.0,2.0,0,0.0,2.0,4.0,2.0,0,0.0,2.0,4.0,2.0,2.0
18,0.0,0.0,0.0,,0,0.0,-2.0,-2.0,-2.0,0,0.0,2.0,6.0,2.0,0,0.0,4.0,4.0,0.0,2.0
19,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
20,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
21,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
22,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
23,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
24,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
25,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
26,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
27,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
28,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
29,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
30,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
31,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
32,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
33,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
34,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
35,0.0,0.0,0.0,,0,0.0,0.0,-2.0,0.0,0,0.0,0.0,6.0,0.0,0,0.0,4.0,4.0,0.0,2.0
36,0.0,0.0,0.0,,0,0.0,-0.08326140236585879,-2.0832614023658587,-0.08326140236585879,0,0.0,-0.08326140236585879,5.916738597634141,-0.08326140236585879,0,0.0,4.166522804731718,3.8334771952682822,-0.08326140236585879,1.9167385976341411
